filename,frequency,totalDur,durStatOnset,durStatOffset,onsetDistance,offsetDistance,direction,trajectory,offsetAzimuth,targetTrial,congruence,targetAzimuth,sourceInt,stimID,fs
20-Feb-2025-1641/20-Feb-2025-1641-01,900,2.9,0.7,0.6,1,1,2,4,-90,0,0,NaN,0,4R001,44100
20-Feb-2025-1641/20-Feb-2025-1641-02,800,3.1,0.8,0.7,1,1,2,4,-90,0,0,NaN,0,4R002,44100
20-Feb-2025-1641/20-Feb-2025-1641-03,500,3,0.6,0.8,1,1,2,4,-90,0,0,NaN,0,4R003,44100
20-Feb-2025-1641/20-Feb-2025-1641-04,500,2.7,0.5,0.6,1,1,2,4,-90,0,0,NaN,0,4R004,44100
20-Feb-2025-1641/20-Feb-2025-1641-05,700,2.9,0.8,0.5,1,1,2,4,-90,0,1,NaN,0,4R005,44100
20-Feb-2025-1641/20-Feb-2025-1641-06,600,2.8,0.6,0.6,1,1,2,4,-90,0,1,NaN,0,4R006,44100
20-Feb-2025-1641/20-Feb-2025-1641-07,900,3,0.6,0.8,1,1,2,4,-90,0,1,NaN,0,4R007,44100
20-Feb-2025-1641/20-Feb-2025-1641-08,500,2.9,0.7,0.6,1,1,2,4,-90,0,1,NaN,0,4R008,44100
20-Feb-2025-1641/20-Feb-2025-1641-09,400,2.9,0.8,0.5,1,1,2,4,-90,1,0,90,0,4R009,44100
20-Feb-2025-1641/20-Feb-2025-1641-10,900,2.8,0.6,0.6,1,1,2,4,-90,1,0,90,0,4R010,44100
20-Feb-2025-1641/20-Feb-2025-1641-11,700,2.9,0.5,0.8,1,1,2,4,-90,1,0,90,0,4R011,44100
20-Feb-2025-1641/20-Feb-2025-1641-12,700,2.7,0.5,0.6,1,1,2,4,-90,1,0,90,0,4R012,44100
20-Feb-2025-1641/20-Feb-2025-1641-13,800,2.8,0.6,0.6,1,1,2,4,-90,1,1,-90,0,4R013,44100
20-Feb-2025-1641/20-Feb-2025-1641-14,900,2.7,0.6,0.5,1,1,2,4,-90,1,1,-90,0,4R014,44100
20-Feb-2025-1641/20-Feb-2025-1641-15,600,2.9,0.5,0.8,1,1,2,4,-90,1,1,-90,0,4R015,44100
20-Feb-2025-1641/20-Feb-2025-1641-16,500,2.9,0.7,0.6,1,1,2,4,-90,1,1,-90,0,4R016,44100
